"Country","Ad Impressions Rendered","Publisher Revenue","Publisher eCPM"
"French Guiana","1","1.0E-4","0.1"
"Australia","15462","32.23871690000001","2.0850289031173204"
"Switzerland","3607","0.15056000000000005","0.04174105905184365"
"Virgin Islands, U.S.","0","0.0","0.0"
"Hong Kong","23915","17.999351090000005","0.7526385569726115"
"Paraguay","217","0.0719","0.33133640552995397"
"Namibia","2","2.0E-4","0.1"
"Sierra Leone","0","0.0","0.0"
"Guinea","6","8.0E-4","0.13333333333333333"
"Dominican Republic","999","0.22115600000000005","0.22137737737737742"
"Croatia","187","0.01659400000000001","0.08873796791443857"
"Thailand","18296","6.5121018","0.3559303563620464"
"Guyana","0","0.0","0.0"
"Eritrea","0","0.0","0.0"
"Poland","4893","0.6327630000000002","0.12932004904966282"
"Sint Maarten","0","0.0","0.0"
"Iceland","1","6.0E-6","0.006"
"Andorra","0","0.0","0.0"
"Monaco","0","0.0","0.0"
"Malawi","0","0.0","0.0"
"UAE","1925","3.030946999999999","1.5745179220779215"
"Hungary","1512","0.231944","0.1534021164021164"
"Lebanon","35","0.0199","0.5685714285714286"
"East Timor","0","0.0","0.0"
"Italy","732","0.144822","0.19784426229508198"
"San Marino","0","0.0","0.0"
"Cameroon","23","0.0025000000000000005","0.10869565217391307"
"Slovenia","479","0.5251500000000001","1.096346555323591"
"Belgium","1130","0.034041999999999975","0.030125663716814136"
"Ireland","123","0.0026779999999999972","0.021772357723577215"
"Panama","368","0.10930000000000002","0.29701086956521744"
"Montenegro","11","0.0033480000000000003","0.3043636363636364"
"Aland Islands","0","0.0","0.0"
"Gabon","0","0.0","0.0"
"Mauritania","0","0.0","0.0"
"Malaysia","7095","4.097803400000002","0.5775621423537705"
"Luxembourg","16","0.002424","0.1515"
"Mali","2","2.0E-4","0.1"
"Germany","13204","0.9692119999999997","0.07340290820963342"
"Lithuania","211","0.017798000000000005","0.08435071090047395"
"Bangladesh","193","0.02143","0.1110362694300518"
"Anguilla","0","0.0","0.0"
"Guatemala","1028","0.2409500000000001","0.23438715953307404"
"Barbados","0","0.0","0.0"
"Pakistan","87","0.013606","0.15639080459770116"
"Zimbabwe","0","0.0","0.0"
"Guadeloupe","139","0.0397","0.2856115107913669"
"Congo","0","0.0","0.0"
"Indonesia","6902","3.227643100000001","0.4676388148362795"
"Turkey","401","0.09812000000000001","0.2446882793017457"
"Bermuda","2","2.0E-4","0.1"
"Rwanda","3","0.00205","0.6833333333333335"
"Denmark","1153","0.08668569999999998","0.07518274067649608"
"Micronesia","0","0.0","0.0"
"Reunion","4","1.18E-4","0.0295"
"Chad","0","0.0","0.0"
"Saint Martin","0","0.0","0.0"
"Niger","0","0.0","0.0"
"Peru","4061","1.2065120000000005","0.29709726668308306"
"Greenland","0","0.0","0.0"
"Kazakhstan","654","0.16860000000000003","0.2577981651376147"
"Kenya","357","0.06246000000000001","0.17495798319327732"
"Isle Of Man","4","4.0E-4","0.1"
"Serbia","44","0.008542","0.19413636363636363"
"Israel","355","0.15632800000000005","0.44036056338028184"
"Guam","23","0.00945","0.41086956521739126"
"Botswana","1","1.0E-4","0.1"
"Somalia","7","0.0106","1.5142857142857142"
"Bolivia","375","0.18740600000000007","0.4997493333333335"
"Costa Rica","297","0.06885600000000001","0.23183838383838387"
"Qatar","358","0.8481279999999998","2.3690726256983234"
"Colombia","8472","1.464552","0.17286968838526914"
"Estonia","1197","0.43623200000000023","0.3644377610693402"
"Sweden","480","0.019000000000000003","0.03958333333333334"
"Tunisia","427","0.05841800000000002","0.13681030444964876"
"Macedonia","2","4.0E-4","0.2"
"Kiribati","0","0.0","0.0"
"Sudan","8","9.000000000000001E-4","0.11250000000000002"
"Puerto Rico","882","0.5412620000000001","0.6136757369614514"
"Gambia","0","0.0","0.0"
"Grenada","0","0.0","0.0"
"Romania","275","0.03797399999999999","0.1380872727272727"
"Benin","0","0.0","0.0"
"Vietnam","20226","5.943475099999998","0.2938532136853554"
"Tanzania, United Republic Of","143","0.0214","0.14965034965034965"
"USA","2115179","3576.974821800001","1.6910979268421258"
"Suriname","0","0.0","0.0"
"Faroe Islands","0","0.0","0.0"
"Egypt","1023","0.11107200000000006","0.10857478005865108"
"Japan","100855","126.48449210000004","1.2541221763918502"
"Cyprus","86","0.008418000000000004","0.09788372093023259"
"Nigeria","106","0.0153","0.14433962264150943"
"Czech Republic","3901","0.802382","0.20568623429889774"
"Angola","7","0.0015","0.21428571428571427"
"Jamaica","20","0.0034000000000000007","0.17000000000000004"
"Papua New Guinea","0","0.0","0.0"
"Mongolia","9","0.0347","3.855555555555556"
"Djibouti","0","0.0","0.0"
"Congo, The Democratic Republic Of The","13","0.0016","0.12307692307692308"
