Country,"Est. Revenue",Impressions,eCPM
"United States",2106.63732,1026593,2.0520667099815
Germany,757.73017,906388,0.83598874874778
France,381.73921,730903,0.52228436605131
Japan,321.11414,362021,0.88700417931556
Canada,284.15723,150823,1.8840444096723
Netherlands,228.19921,290648,0.78513944702871
Switzerland,187.80155,271295,0.69224110285851
"Korea, Republic of",165.5278,154034,1.0746185907008
Italy,160.96524,326730,0.49265521990634
Belgium,127.62139,154031,0.82854353993677
Denmark,127.47916,234590,0.5434125921821
"United Kingdom",100.68246,90947,1.107045422059
Spain,97.86139,161179,0.60715967961087
Brazil,73.54818,131933,0.55746613811556
Austria,69.28077,95215,0.72762453394948
Taiwan,65.29749,70905,0.92091516818278
Sweden,57.66198,115680,0.49846109958506
Finland,48.38022,92144,0.52505013891301
Mexico,45.4731,85665,0.53082472421642
Thailand,45.05073,75173,0.59929402844106
"Viet Nam",44.8737,174863,0.25662204125515
"Hong Kong",42.55927,37770,1.1268009001853
Australia,36.46003,19079,1.9110031972326
Ireland,31.1797,36611,0.85164841167955
"Czech Republic",24.20731,59414,0.40743444306056
Poland,23.89423,69665,0.34298758343501
Greece,19.95113,110198,0.18104802265014
Slovakia,19.62974,107503,0.18259713682409
"New Zealand",19.6264,23281,0.84302220694987
Hungary,17.59013,134801,0.1304896106112
Indonesia,15.20665,20342,0.74754940517157
Norway,11.94459,66223,0.18036920707307
Singapore,11.68144,46113,0.25332205668683
"Saudi Arabia",11.51956,8341,1.3810766095192
Malaysia,10.46622,12848,0.81461861768369
Colombia,9.20027,79048,0.11638839692339
Croatia,8.21021,58437,0.14049677430395
Argentina,7.52033,71132,0.10572358432211
Portugal,7.13956,33032,0.21614071203681
Estonia,6.90985,20726,0.33339042748239
"South Africa",6.67328,19471,0.34272918699605
Chile,6.17738,25077,0.24633648363042
Israel,6.09347,8332,0.73133341334614
Latvia,5.9292,29516,0.20088087816777
Peru,5.87246,30872,0.19021961648095
"Puerto Rico",5.7866,21383,0.27061684515737
Lithuania,5.43001,30375,0.17876576131687
Morocco,4.23729,33991,0.12465917448736
Luxembourg,4.20322,9888,0.42508292880259
India,3.99426,39394,0.10139259785754
